Produktfamilie,Produkttyp,Gewicht,A1-A3,A4,A5,C1,C2,C3,C4,D,A1-A3,A4,A5,C1,C2/1,C3/1,C4/1,D/1
Lamellendecken,LMD-L 601,12.12,32.25,0.11,1.04,0,0.1,0.29,0.03,-19.05,32.25,0.11,1.04,0,0.52,0.29,0,-27.95
Lamellendecken,LMD-L 601,10.484,27.9,0.09,0.9,0,0.09,0.29,0.02,-16.48,27.9,0.09,0.9,0,0.45,0.29,0,-24.18
Lamellendecken,LMD-L 601,9.938666667,26.45,0.09,0.85,0,0.08,0.29,0.02,-15.62,26.45,0.09,0.85,0,0.42,0.29,0,-22.92
Lamellendecken,LMD-L 601,9.542,25.39,0.09,0.82,0,0.08,0.29,0.02,-15,25.39,0.09,0.82,0,0.41,0.29,0,-22.01
Lamellendecken,LMD-L 607,12.44,33.1,0.11,1.07,0,0.11,0.29,0.03,-19.55,33.1,0.11,1.07,0,0.53,0.29,0,-28.69
Lamellendecken,LMD-L 607,10.252,27.28,0.09,0.88,0,0.09,0.29,0.02,-16.11,27.28,0.09,0.88,0,0.44,0.29,0,-23.64
Lamellendecken,LMD-L 607,9.522666667,25.34,0.09,0.82,0,0.08,0.29,0.02,-14.96,25.34,0.09,0.82,0,0.41,0.29,0,-21.96
Lamellendecken,LMD-L 607,9.156,24.36,0.08,0.79,0,0.08,0.29,0.02,-14.39,24.36,0.08,0.79,0,0.39,0.29,0,-21.12
Lamellendecken,LMD-L 607,12.848,34.18,0.12,1.1,0,0.11,0.29,0.03,-20.19,34.18,0.12,1.1,0,0.55,0.29,0,-29.63
Lamellendecken,LMD-L 607,10.496,27.93,0.1,0.9,0,0.09,0.29,0.02,-16.49,27.93,0.1,0.9,0,0.45,0.29,0,-24.21
Lamellendecken,LMD-L 607,9.709333333,25.84,0.09,0.84,0,0.08,0.29,0.02,-15.26,25.84,0.09,0.84,0,0.41,0.29,0,-22.39
Lamellendecken,LMD-L 607,9.318,24.79,0.08,0.8,0,0.08,0.29,0.02,-14.64,24.79,0.08,0.8,0,0.4,0.29,0,-21.49
Lamellendecken,LMD-L 607,13.112,34.89,0.12,1.13,0,0.11,0.29,0.03,-20.61,34.89,0.12,1.13,0,0.56,0.29,0,-30.24
Lamellendecken,LMD-L 607,10.664,28.37,0.1,0.92,0,0.09,0.29,0.02,-16.76,28.37,0.1,0.92,0,0.45,0.29,0,-24.59
Lamellendecken,LMD-L 607,9.848,26.2,0.09,0.85,0,0.08,0.29,0.02,-15.48,26.2,0.09,0.85,0,0.42,0.29,0,-22.71
Lamellendecken,LMD-L 607,9.44,25.12,0.09,0.81,0,0.08,0.29,0.02,-14.83,25.12,0.09,0.81,0,0.4,0.29,0,-21.77
Lamellendecken,LMD-L 607,13.376,35.59,0.12,1.15,0,0.11,0.29,0.03,-21.02,35.59,0.12,1.15,0,0.57,0.29,0,-30.85
Lamellendecken,LMD-L 607,10.836,28.83,0.1,0.93,0,0.09,0.29,0.03,-17.03,28.83,0.1,0.93,0,0.46,0.29,0,-24.99
Lamellendecken,LMD-L 607,9.986666667,26.57,0.09,0.86,0,0.08,0.29,0.02,-15.69,26.57,0.09,0.86,0,0.42,0.29,0,-23.03
Lamellendecken,LMD-L 607,9.562,25.44,0.09,0.82,0,0.08,0.29,0.02,-15.03,25.44,0.09,0.82,0,0.41,0.29,0,-22.05
Lamellendecken,LMD-L 607,13.64,36.29,0.12,1.17,0,0.12,0.29,0.03,-21.44,36.29,0.12,1.17,0,0.58,0.29,0,-31.46
Lamellendecken,LMD-L 607,11.004,29.28,0.1,0.95,0,0.09,0.29,0.03,-17.29,29.28,0.1,0.95,0,0.47,0.29,0,-25.38
Lamellendecken,LMD-L 607,10.12533333,26.94,0.09,0.87,0,0.09,0.29,0.02,-15.91,26.94,0.09,0.87,0,0.43,0.29,0,-23.35
Lamellendecken,LMD-L 607,9.684,25.77,0.09,0.83,0,0.08,0.29,0.02,-15.22,25.77,0.09,0.83,0,0.41,0.29,0,-22.33
Lamellendecken,LMD-L 608,12.12,32.25,0.11,1.04,0,0.1,0.29,0.03,-19.05,32.25,0.11,1.04,0,0.52,0.29,0,-27.95
Lamellendecken,LMD-L 608,10.932,29.09,0.1,0.94,0,0.09,0.29,0.03,-17.18,29.09,0.1,0.94,0,0.47,0.29,0,-25.21
Lamellendecken,LMD-L 608,10.536,28.03,0.1,0.91,0,0.09,0.29,0.02,-16.56,28.03,0.1,0.91,0,0.45,0.29,0,-24.3
Lamellendecken,LMD-L 608,10.336,27.5,0.09,0.89,0,0.09,0.29,0.02,-16.24,27.5,0.09,0.89,0,0.44,0.29,0,-23.84
Lamellendecken,LMD-L 608,12.528,33.33,0.11,1.08,0,0.11,0.29,0.03,-19.69,33.33,0.11,1.08,0,0.53,0.29,0,-28.89
